cell,Sample ID,Lat,Long,T3percRed,X,Y,TemplateX,TemplateY,Difference1,Difference2,Distance
297,OSAC0000964249,47.530284,-122.120987,0.09375,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
301,OSAC0000963954,44.582688,-118.626081,0.10625,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
296,BBSL760354,48.09788,-123.41248,0.13125,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
301,HH15_3905_7,45.64764,-118.12817,0.1521875,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
302,OSAC0000964014,45.008934,-117.191643,0.17,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
302,OSAC0000964039,45.26756,-117.212795,0.17,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
301,OSAC0000964024,45.50189,-118.53767,0.17,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
298,HH15_1003_5,40.51667,-121.49402,0.178125,-0.875241538,-0.041423447,-1,-0.485531924,0.124758462,0.444108476,0.461299266
302,OSAC0000964210,45.008934,-117.191643,0.1796875,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
302,OSAC0000964215,45.008934,-117.191643,0.221875,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
302,BBSL740533,46.10825,-117.2458,0.221875,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
301,BBSL763083,46.09337,-117.87672,0.228125,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
298,BBSL763043,48.62165,-120.83583,0.246875,-0.875241538,-0.041423447,-1,-0.485531924,0.124758462,0.444108476,0.461299266
296,BBSL760729,48.51715,-122.89218,0.246875,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,BBSL989944,48.12845,-122.92823,0.246875,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
299,BBSL762971,48.59934,-120.54421,0.25625,-0.875672981,-0.103066712,-1,-0.485531924,0.124327019,0.382465212,0.402165197
298,BBSL763046,48.62165,-120.83583,0.25625,-0.875241538,-0.041423447,-1,-0.485531924,0.124758462,0.444108476,0.461299266
298,BBSL763058,48.48593,-121.0843,0.25625,-0.875241538,-0.041423447,-1,-0.485531924,0.124758462,0.444108476,0.461299266
302,OSAC0000963994,45.157039,-117.033658,0.2671875,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
302,HH15_4704_1,45.29559,-117.39569,0.284375,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
296,BBSL740845,46.96064,-123.10229,0.2953125,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
301,BBSL763102,46.09337,-117.87672,0.2953125,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
302,OSAC0000964099,45.008934,-117.191643,0.3046875,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
301,OSAC0000963991,44.582688,-118.626081,0.3171875,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
301,HH15_3905_1,45.64764,-118.12817,0.319375,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
301,HH15_3905_2,45.64764,-118.12817,0.319375,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
301,HH15_3905_3,45.64764,-118.12817,0.319375,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
301,HH15_3905_4,45.64764,-118.12817,0.319375,0.69429301,0.574300141,-1,-0.485531924,1.69429301,1.059832065,1.998467615
298,BBSL763064,48.48593,-121.0843,0.3515625,-0.875241538,-0.041423447,-1,-0.485531924,0.124758462,0.444108476,0.461299266
302,BBSL740615,45.69974,-117.2947,0.3515625,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
302,BBSL740537,46.10825,-117.2458,0.409375,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
302,OSAC0000963948,45.213814,-117.202736,0.4796875,0.69060653,0.754135753,-1,-0.485531924,1.69060653,1.239667677,2.096407973
302,OSAC0000964177,45.411217,-116.74439,0.5046875,0.69060653,0.754135753,-0.491768952,0.191751386,1.182375482,0.562384366,1.309308198
296,BBSL703399,48.80855,-123.63125,0.509375,-0.700624437,-0.264257543,-0.491768952,0.191751386,-0.208855484,-0.456008929,0.501562316
298,BBSL763024,48.62165,-120.83583,0.521875,-0.875241538,-0.041423447,-0.491768952,0.191751386,-0.383472586,-0.233174834,0.44880032
302,OSAC0000964206,45.26756,-117.212795,0.55,0.69060653,0.754135753,-0.491768952,0.191751386,1.182375482,0.562384366,1.309308198
302,OSAC0000964115,45.26756,-117.212795,0.5546875,0.69060653,0.754135753,-0.491768952,0.191751386,1.182375482,0.562384366,1.309308198
303,BBSL740819,44.98977,-116.18861,0.5609375,0.789244507,0.724987864,-0.491768952,0.191751386,1.28101346,0.533236477,1.387564998
297,OSAC0000964256,47.530284,-122.120987,0.565625,-0.822984746,-0.16794431,-0.491768952,0.191751386,-0.331215794,-0.359695696,0.488963083
302,OSAC0000963998,45.26756,-117.212795,0.5671875,0.69060653,0.754135753,-0.491768952,0.191751386,1.182375482,0.562384366,1.309308198
301,BBSL754508,45.15691,-118.06286,0.590625,0.69429301,0.574300141,-0.491768952,0.191751386,1.186061962,0.382548755,1.246228923
301,HH15_3905_6,45.64764,-118.12817,0.6421875,0.69429301,0.574300141,-0.491768952,0.191751386,1.186061962,0.382548755,1.246228923
301,OSAC0000964209,44.947422,-118.24537,0.6875,0.69429301,0.574300141,-0.491768952,0.191751386,1.186061962,0.382548755,1.246228923
301,BBSL763075,46.09337,-117.87672,0.728125,0.69429301,0.574300141,-0.491768952,0.191751386,1.186061962,0.382548755,1.246228923
302,OSAC0000964171,45.157039,-117.033658,0.76875,0.69060653,0.754135753,-0.491768952,0.191751386,1.182375482,0.562384366,1.309308198
302,OSAC0000964159,45.008934,-117.191643,0.80625,0.69060653,0.754135753,-0.491768952,0.191751386,1.182375482,0.562384366,1.309308198
302,HH15_4704_2,45.29559,-117.39569,0.81875,0.69060653,0.754135753,-0.491768952,0.191751386,1.182375482,0.562384366,1.309308198
301,OSAC0000964208,44.947422,-118.24537,0.821875,0.69429301,0.574300141,-0.491768952,0.191751386,1.186061962,0.382548755,1.246228923
302,OSAC0000964089,44.81691,-117.36419,0.8515625,0.69060653,0.754135753,-0.491768952,0.191751386,1.182375482,0.562384366,1.309308198
301,BBSL763421,45.77617,-118.08175,0.8640625,0.69429301,0.574300141,-0.491768952,0.191751386,1.186061962,0.382548755,1.246228923
302,OSAC0000964118,45.213814,-117.202736,0.8765625,0.69060653,0.754135753,-0.491768952,0.191751386,1.182375482,0.562384366,1.309308198
302,BBSL764239,48.29945,-116.70358,0.8796875,0.69060653,0.754135753,-0.491768952,0.191751386,1.182375482,0.562384366,1.309308198
301,BBSL763076,46.09337,-117.87672,0.8796875,0.69429301,0.574300141,-0.491768952,0.191751386,1.186061962,0.382548755,1.246228923
303,BBSL740484,44.98977,-116.18861,0.8796875,0.789244507,0.724987864,-0.491768952,0.191751386,1.28101346,0.533236477,1.387564998
303,BBSL869580,48.6956,-116.4077,0.8796875,0.789244507,0.724987864,-0.491768952,0.191751386,1.28101346,0.533236477,1.387564998
302,OSAC0000964117,45.26756,-117.212795,0.88125,0.69060653,0.754135753,-0.491768952,0.191751386,1.182375482,0.562384366,1.309308198
301,OSAC0000964116,44.957523,-118.230855,0.88125,0.69429301,0.574300141,-0.491768952,0.191751386,1.186061962,0.382548755,1.246228923
302,OSAC0000964175,45.411217,-116.74439,0.8921875,0.69060653,0.754135753,-0.491768952,0.191751386,1.182375482,0.562384366,1.309308198
302,OSAC0000964193,45.008934,-117.191643,0.896875,0.69060653,0.754135753,-0.491768952,0.191751386,1.182375482,0.562384366,1.309308198
298,BBSL763226,48.51906,-120.73407,0.9125,-0.875241538,-0.041423447,-0.491768952,0.191751386,-0.383472586,-0.233174834,0.44880032
296,BBSL760710,48.51715,-122.89218,0.9125,-0.700624437,-0.264257543,-0.491768952,0.191751386,-0.208855484,-0.456008929,0.501562316
302,OSAC0000964119,45.213814,-117.202736,0.96875,0.69060653,0.754135753,-0.491768952,0.191751386,1.182375482,0.562384366,1.309308198
303,HH15_0102,43.76359,-116.10907,0.9875,0.789244507,0.724987864,-0.491768952,0.191751386,1.28101346,0.533236477,1.387564998
302,OSAC0000964165,45.008934,-117.191643,0.990625,0.69060653,0.754135753,-0.491768952,0.191751386,1.182375482,0.562384366,1.309308198
262,OSAC0000964217,40.667,-115.42715,1,-0.929232796,-0.211301787,-0.491768952,0.191751386,-0.437463844,-0.403053173,0.594833149
287,BBSL763661,44.75118,-111.26383,1,-0.928010843,-0.053569596,-0.491768952,0.191751386,-0.436241891,-0.245320982,0.500489133
287,BBSL764299,46.85804,-110.67823,1,-0.928010843,-0.053569596,-0.491768952,0.191751386,-0.436241891,-0.245320982,0.500489133
259,OSAC0000964169,42.738562,-118.644603,1,-0.893857918,-0.31419084,-0.491768952,0.191751386,-0.402088966,-0.505942226,0.64626084
291,BBSL764341,44.16488,-107.2138,1,-0.889798327,-0.150747949,-0.491768952,0.191751386,-0.398029375,-0.342499335,0.525103017
291,BBSL764375,44.1681,-107.2109,1,-0.889798327,-0.150747949,-0.491768952,0.191751386,-0.398029375,-0.342499335,0.525103017
291,BBSL765627,38.32304,-107.4761,1,-0.889798327,-0.150747949,-0.491768952,0.191751386,-0.398029375,-0.342499335,0.525103017
291,BBSL765634,38.32304,-107.4761,1,-0.889798327,-0.150747949,-0.491768952,0.191751386,-0.398029375,-0.342499335,0.525103017
299,BBSL696724,48.6848,-119.9255,1,-0.875672981,-0.103066712,-0.491768952,0.191751386,-0.383904029,-0.294818099,0.484045468
299,BBSL696861,48.8568,-119.9463,1,-0.875672981,-0.103066712,-0.491768952,0.191751386,-0.383904029,-0.294818099,0.484045468
299,BBSL697438,48.6003,-119.9355,1,-0.875672981,-0.103066712,-0.491768952,0.191751386,-0.383904029,-0.294818099,0.484045468
299,BBSL763311,48.39298,-119.90317,1,-0.875672981,-0.103066712,-0.491768952,0.191751386,-0.383904029,-0.294818099,0.484045468
261,HH15_0203,43.78299,-116.08553,1,-0.867314737,-0.466418576,-0.491768952,0.191751386,-0.375545785,-0.658169962,0.757774594
257,OSAC0000964199,42.300201,-120.123587,1,-0.861666568,-0.122040116,-0.491768952,0.191751386,-0.369897616,-0.313791502,0.485066339
257,OSAC0000964213,42.300201,-120.123587,1,-0.861666568,-0.122040116,-0.491768952,0.191751386,-0.369897616,-0.313791502,0.485066339
288,BBSL763804,45.31757,-110.56695,1,-0.808448809,-0.624801554,-0.491768952,0.191751386,-0.316679857,-0.81655294,0.875810959
293,BBSL765407,39.94036,-105.5595,1,-0.80665411,-0.117269325,-0.491768952,0.191751386,-0.314885158,-0.309020711,0.441187559
285,ZION24174,37.3838,-113.0293,1,-0.803431431,-0.567917235,-0.491768952,0.191751386,-0.311662479,-0.759668622,0.821115044
285,OSAC0000964110,37.635962,-112.845047,1,-0.803431431,-0.567917235,-0.491768952,0.191751386,-0.311662479,-0.759668622,0.821115044
314,BBSL226710,41.0409,-105.5635,1,-0.778266519,-0.58803222,-0.491768952,0.191751386,-0.286497566,-0.779783606,0.830748655
284,BBSL763947,45.69219,-113.95238,1,-0.776023022,-0.580240615,-0.491768952,0.191751386,-0.28425407,-0.771992001,0.82266155
284,BBSL763949,45.69219,-113.95238,1,-0.776023022,-0.580240615,-0.491768952,0.191751386,-0.28425407,-0.771992001,0.82266155
284,BBSL763950,45.69219,-113.95238,1,-0.776023022,-0.580240615,-0.491768952,0.191751386,-0.28425407,-0.771992001,0.82266155
284,BBSL764067,48.30446,-113.98406,1,-0.776023022,-0.580240615,-0.491768952,0.191751386,-0.28425407,-0.771992001,0.82266155
292,BBSL764819,41.32207,-106.41233,1,-0.74334736,-0.259797345,-0.491768952,0.191751386,-0.251578407,-0.451548731,0.516902265
292,BBSL767822,33.3994,-105.7895,1,-0.74334736,-0.259797345,-0.491768952,0.191751386,-0.251578407,-0.451548731,0.516902265
283,OSAC0000964122,40.667,-115.42715,1,-0.711791098,-0.683176296,-0.491768952,0.191751386,-0.220022146,-0.874927682,0.902168606
282,BBSL764153,48.85286,-116.27901,1,-0.704066028,-0.55719681,-0.491768952,0.191751386,-0.212297075,-0.748948196,0.77845581
290,BBSL764395,44.80227,-107.90035,1,-0.658361195,-0.372075899,-0.491768952,0.191751386,-0.166592242,-0.563827285,0.58792362
290,BBSL764459,44.80227,-107.90035,1,-0.658361195,-0.372075899,-0.491768952,0.191751386,-0.166592242,-0.563827285,0.58792362
312,BBSL226705,41.03635,-106.88365,1,-0.621211655,-0.869752179,-0.491768952,0.191751386,-0.129442702,-1.061503565,1.069366743
312,BBSL744519,39.0116,-107.0526,1,-0.621211655,-0.869752179,-0.491768952,0.191751386,-0.129442702,-1.061503565,1.069366743
312,BBSL744557,44.7603,-107.5948,1,-0.621211655,-0.869752179,-0.491768952,0.191751386,-0.129442702,-1.061503565,1.069366743
304,BBSL763543,35.7425,-114.8396,1,-0.104752346,-0.148357041,-0.491768952,0.191751386,0.387016607,-0.340108428,0.515223831
281,OSAC0000964079,45.43953,-117.35072,1,-0.047654878,-0.203472868,-0.491768952,0.191751386,0.444114074,-0.395224254,0.594507798
280,OSAC0000964161,42.738562,-118.644603,1,0.159744137,-0.058766986,-0.491768952,0.191751386,0.651513089,-0.250518372,0.698017736
280,OSAC0000964162,42.738562,-118.644603,1,0.159744137,-0.058766986,-0.491768952,0.191751386,0.651513089,-0.250518372,0.698017736
280,OSAC0000964164,42.738562,-118.644603,1,0.159744137,-0.058766986,-0.491768952,0.191751386,0.651513089,-0.250518372,0.698017736
308,BBSL228068,42.0836,-111.6209,1,0.295850055,0.1697617,-0.491768952,0.191751386,0.787619008,-0.021989687,0.787925915
308,BBSL228072,41.9015,-111.6421,1,0.295850055,0.1697617,-0.491768952,0.191751386,0.787619008,-0.021989687,0.787925915
308,BBSL398961,41.8874,-111.5962,1,0.295850055,0.1697617,-0.491768952,0.191751386,0.787619008,-0.021989687,0.787925915
308,BBSL744957,44.7438,-111.259,1,0.295850055,0.1697617,-0.491768952,0.191751386,0.787619008,-0.021989687,0.787925915
308,BBSL745188,40.6065,-111.555,1,0.295850055,0.1697617,-0.491768952,0.191751386,0.787619008,-0.021989687,0.787925915
308,BBSL754274,39.8938,-111.0527,1,0.295850055,0.1697617,-0.491768952,0.191751386,0.787619008,-0.021989687,0.787925915
308,BBSL754278,39.8938,-111.0527,1,0.295850055,0.1697617,-0.491768952,0.191751386,0.787619008,-0.021989687,0.787925915
308,BBSL754310,39.8938,-111.0527,1,0.295850055,0.1697617,-0.491768952,0.191751386,0.787619008,-0.021989687,0.787925915
308,BBSL761015,40.6065,-111.555,1,0.295850055,0.1697617,-0.491768952,0.191751386,0.787619008,-0.021989687,0.787925915
271,OSAC0000964196,40.356726,-105.70117,1,0.606161937,0.449046579,-0.491768952,0.191751386,1.097930889,0.257295193,1.127675952
271,OSAC0000964198,40.356726,-105.70117,1,0.606161937,0.449046579,-0.491768952,0.191751386,1.097930889,0.257295193,1.127675952
272,OSAC0000964195,40.291974,-105.643638,1,0.675339182,0.733703385,-0.491768952,0.191751386,1.167108134,0.541951999,1.28679966
272,OSAC0000964197,41.315817,-105.573346,1,0.675339182,0.733703385,-0.491768952,0.191751386,1.167108134,0.541951999,1.28679966
272,OSAC0000964200,41.315817,-105.573346,1,0.675339182,0.733703385,-0.491768952,0.191751386,1.167108134,0.541951999,1.28679966
272,OSAC0000964214,40.291039,-105.642323,1,0.675339182,0.733703385,-0.491768952,0.191751386,1.167108134,0.541951999,1.28679966
306,BBSL398972,37.6522,-112.82464,1,0.683916862,0.594585694,-0.491768952,0.191751386,1.175685814,0.402834308,1.242784218
306,BBSL744687,42.1988,-113.667,1,0.683916862,0.594585694,-0.491768952,0.191751386,1.175685814,0.402834308,1.242784218
306,BBSL760923,41.94909,-113.34954,1,0.683916862,0.594585694,-0.491768952,0.191751386,1.175685814,0.402834308,1.242784218
302,BBSL763498,45.00649,-117.57936,1,0.69060653,0.754135753,-0.491768952,0.191751386,1.182375482,0.562384366,1.309308198
303,BBSL740512,45.00276,-116.15892,1,0.789244507,0.724987864,-0.491768952,0.191751386,1.28101346,0.533236477,1.387564998